SnapGadgetID,Type,DealID,MerchantName,DealCategories,SnapGadgetDealCategories,DealType,MerchantType,NationalDeal,DivisionID,DivisionLat,DivisionLong,LargeImageURL,SmallImageURL,Status,DealURL,DealHeader,DealHighlights,DealStart,DealUpdated,DealEnd,DealTipped,DealTippedAt,MerchantName,RedemptionNeighborhood,RedemptionCountry,RedemptionStreetAddress1,RedemptionStreetAddress2,RedemptionCity,RedemptionState,RedemptionZipCode,RedemptionLat,RedemptionLong,RedemptionPhoneNumber,NumberSold,ValueCurrency,ValueAmount,PriceCurrency,PriceAmount,DiscountCurrency,DiscountAmount,DiscountPercent,YelpID,YelpReviewsCount,YelpRating,WOEID
,groupon,,mezcal,,24,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2658/1126/RackMultipart20121018-5916-197ul0v_medium.jpg,https://s3.grouponcdn.com/images/site_images/2658/1126/RackMultipart20121018-5916-197ul0v_square.jpg,open,http://www.groupon.com/deals/mezcal,Half Off Mexican Cuisine and Drinks at Mezcal,"Tamales, tacos, skirt steak, posole, and more than 275 tequilas served amid retro movie and wrestling posters",2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T11:09:51Z,mezcal,Congress Park,US,3230 E Colfax Ave.,,Denver,Colorado,80206,39.7400225,-104.9487585,303-322-5219,360+,USD,$30.00,USD,$15.00,USD,$15.00,50,http://yelp.com/biz/mezcal-denver/,195,3,12792946
,groupon,,mezcal,,24,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2658/1126/RackMultipart20121018-5916-197ul0v_medium.jpg,https://s3.grouponcdn.com/images/site_images/2658/1126/RackMultipart20121018-5916-197ul0v_square.jpg,open,http://www.groupon.com/deals/mezcal,Half Off Mexican Cuisine and Drinks at Mezcal,"Tamales, tacos, skirt steak, posole, and more than 275 tequilas served amid retro movie and wrestling posters",2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T11:09:51Z,mezcal,Congress Park,US,3230 E Colfax Ave.,,Denver,Colorado,80206,39.7400225,-104.9487585,303-322-5219,360+,USD,$60.00,USD,$30.00,USD,$30.00,50,http://yelp.com/biz/mezcal-denver/,195,3,12792946
,groupon,,a-house-of-tint,"Education, Dance Lessons",3,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2660/8612/RackMultipart20121018-16053-1t3hcn0_medium.jpg,https://s3.grouponcdn.com/images/site_images/2660/8612/RackMultipart20121018-16053-1t3hcn0_square.jpg,open,http://www.groupon.com/deals/a-house-of-tint,Half Off Window Tinting from A House of Tint,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T14:09:20Z,a-house-of-tint,Southwest Arapahoe,US,1910 W Stanford Ave.,Suite 3,Sheridan,Colorado,80110,39.6350355,-105.0083756,720-569-6572,20+,USD,$250.00,USD,$125.00,USD,$125.00,50,,,,
,groupon,,a-house-of-tint,,3,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2660/8612/RackMultipart20121018-16053-1t3hcn0_medium.jpg,https://s3.grouponcdn.com/images/site_images/2660/8612/RackMultipart20121018-16053-1t3hcn0_square.jpg,open,http://www.groupon.com/deals/a-house-of-tint,Half Off Window Tinting from A House of Tint,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T14:09:20Z,a-house-of-tint,Southwest Arapahoe,US,1910 W Stanford Ave.,Suite 3,Sheridan,Colorado,80110,39.6350355,-105.0083756,720-569-6572,20+,USD,$80.00,USD,$40.00,USD,$40.00,50,,,,
,groupon,,alchemy-massage,,34,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2656/6731/RackMultipart20121018-12762-1njigok_medium.jpg,https://s3.grouponcdn.com/images/site_images/2656/6731/RackMultipart20121018-12762-1njigok_square.jpg,open,http://www.groupon.com/deals/alchemy-massage,Up to 52% Off Microcurrent Treatments with Massage,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T10:44:33Z,alchemy-massage,Lakewood,US,7475 W. 5th Ave,,Lakewood,Colorado,80226,39.723872,-105.079748,303-995-3939,10+,USD,$70.00,USD,$35.00,USD,$35.00,50,,,,
,groupon,,alchemy-massage,,34,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2656/6731/RackMultipart20121018-12762-1njigok_medium.jpg,https://s3.grouponcdn.com/images/site_images/2656/6731/RackMultipart20121018-12762-1njigok_square.jpg,open,http://www.groupon.com/deals/alchemy-massage,Up to 52% Off Microcurrent Treatments with Massage,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T10:44:33Z,alchemy-massage,Lakewood,US,7475 W. 5th Ave,,Lakewood,Colorado,80226,39.723872,-105.079748,303-995-3939,10+,USD,$125.00,USD,$60.00,USD,$65.00,52,,,,
,groupon,,boulder-swing-dance-1,,28,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_medium.jpg,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_square.jpg,open,http://www.groupon.com/deals/boulder-swing-dance-1,Up to 61% Off Dance Classes at Boulder Swing Dance,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T15:10:10Z,boulder-swing-dance-1,Multiple Locations,US,2126 Pearl St.,,Boulder,Colorado,80302,40.020177,-105.267177,,10+,USD,$70.00,USD,$29.00,USD,$41.00,59,,,,
,groupon,,boulder-swing-dance-1,,28,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_medium.jpg,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_square.jpg,open,http://www.groupon.com/deals/boulder-swing-dance-1,Up to 61% Off Dance Classes at Boulder Swing Dance,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T15:10:10Z,boulder-swing-dance-1,Multiple Locations,US,2115 Pearl St.,,Boulder,Colorado,80302,40.0203198,-105.2681678,,10+,USD,$70.00,USD,$29.00,USD,$41.00,59,,,,
,groupon,,boulder-swing-dance-1,,28,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_medium.jpg,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_square.jpg,open,http://www.groupon.com/deals/boulder-swing-dance-1,Up to 61% Off Dance Classes at Boulder Swing Dance,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T15:10:10Z,boulder-swing-dance-1,Multiple Locations,US,2126 Pearl St.,,Boulder,Colorado,80302,40.020177,-105.267177,,10+,USD,$140.00,USD,$55.00,USD,$85.00,61,,,,
,groupon,,boulder-swing-dance-1,,28,,,,denver,39.7551,-104.988,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_medium.jpg,https://s3.grouponcdn.com/images/site_images/2672/6919/RackMultipart20121022-9151-ad41uy_square.jpg,open,http://www.groupon.com/deals/boulder-swing-dance-1,Up to 61% Off Dance Classes at Boulder Swing Dance,,2012-10-24T06:00:00Z,,2012-11-27T05:59:59Z,TRUE,2012-10-23T15:10:10Z,boulder-swing-dance-1,Multiple Locations,US,2115 Pearl St.,,Boulder,Colorado,80302,40.0203198,-105.2681678,,10+,USD,$140.00,USD,$55.00,USD,$85.00,61,,,,
